00000   2010,10,6,0,0,10    0       2010,10,6,10,40,51
00001   2010,10,6,0,0,10    800     2010,10,6,10,40,51
00002   2010,10,6,0,0,10    900     2010,10,6,10,40,51
00003   2010,10,6,0,0,10    0       2010,10,6,10,40,51
00004   2010,10,6,0,0,10    0       2010,10,6,10,40,51
00005   2010,10,6,0,0,10    0       2010,10,6,10,40,51
00006   2010,10,6,0,0,10    0       2010,10,6,10,40,51
00007   2010,10,6,0,0,10    0       2010,10,6,10,40,51
00008   2010,10,6,0,0,10    0       2010,10,6,10,40,51
00009   2010,10,6,0,0,10    0       2010,10,6,10,40,51
00010   2010,10,6,0,0,10    0       2010,10,6,10,40,51
